director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mai Iskander,Mai Iskander (director),unknown,unknown,Documentary,garbage dreams,Mai Iskander (director) unknown unknown Mai Iskander Documentary
Lucien Castaing-Taylor & Ilisa Barbash,Lucien Castaing-Taylor & Ilisa Barbash (directors),unknown,unknown,Western Documentary,sweetgrass,Lucien Castaing-Taylor & Ilisa Barbash (directors) unknown unknown Lucien Castaing-Taylor & Ilisa Barbash Western Documentary
Peter Spierig & Michael Spierig,Ethan Hawke,Willem Dafoe,Sam Neill,Action Fantasy Horror Science Fiction,daybreakers,Ethan Hawke Willem Dafoe Sam Neill Peter Spierig & Michael Spierig Action Fantasy Horror Science Fiction
Anand Tucker,Amy Adams,Matthew Goode,Adam Scott,Romance Comedy,leap year,Amy Adams Matthew Goode Adam Scott Anand Tucker Romance Comedy
Miguel Arteta,Michael Cera,Portia Doubleday,Justin Long,Comedy Romance,youth in revolt,Michael Cera Portia Doubleday Justin Long Miguel Arteta Comedy Romance
Tim Allen,Tim Allen,Sigourney Weaver,Ray Liotta,Comedy Romance,crazy on the outside,Tim Allen Sigourney Weaver Ray Liotta Tim Allen Comedy Romance
"Kate Davis, David Heilbroner",Kate Davis,David Heilbroner (directors),unknown,Documentary,waiting for armageddon,"Kate Davis David Heilbroner (directors) unknown Kate Davis, David Heilbroner Documentary"
Joshua Goldin,Joshua Goldin (director); Matthew Broderick,Sanaa Lathan,Michael K. Williams,Comedy Drama Romance,wonderful world,Joshua Goldin (director); Matthew Broderick Sanaa Lathan Michael K. Williams Joshua Goldin Comedy Drama Romance
"Allen Hughes, Albert Hughes",Denzel Washington,Gary Oldman,Mila Kunis,Action Thriller Science Fiction,the book of eli,"Denzel Washington Gary Oldman Mila Kunis Allen Hughes, Albert Hughes Action Thriller Science Fiction"
Brian Levant,Jackie Chan,Amber Valletta,Magnús Scheving,Action Comedy Family,the spy next door,Jackie Chan Amber Valletta Magnús Scheving Brian Levant Action Comedy Family
Malcolm Vemille,Malcolm Vemille (director); Ray Winstone,Ian McShane,unknown,Drama Crime,44 inch chest,Malcolm Vemille (director); Ray Winstone Ian McShane unknown Malcolm Vemille Drama Crime
Andrea Arnold,Katie Jarvis,Michael Fassbender,Kierston Wareing,Drama,fish tank,Katie Jarvis Michael Fassbender Kierston Wareing Andrea Arnold Drama
Brent Leung,Brent Leung (director),unknown,unknown,Documentary,house of numbers: anatomy of an epidemic,Brent Leung (director) unknown unknown Brent Leung Documentary
Tom Vaughan,Brendan Fraser,Harrison Ford,Keri Russell,Drama,extraordinary measures,Brendan Fraser Harrison Ford Keri Russell Tom Vaughan Drama
Scott Stewart,Paul Bettany,Lucas Black,Tyrese Gibson,Adventure History Action,legion,Paul Bettany Lucas Black Tyrese Gibson Scott Stewart Adventure History Action
Michael Lembeck,Dwayne Johnson,Ashley Judd,Julie Andrews,Comedy Family Fantasy,tooth fairy,Dwayne Johnson Ashley Judd Julie Andrews Michael Lembeck Comedy Family Fantasy
Jon Amiel,Paul Bettany,Jennifer Connelly,Jeremy Northam,Horror Mystery Thriller,creation,Paul Bettany Jennifer Connelly Jeremy Northam Jon Amiel Horror Mystery Thriller
"Émilie Dequenne, Catherine Deneuve, Ronit Elkabetz, Matthieu Demy",Émilie Dequenne,Catherine Deneuve,Ronit Elkabetz,Crime Drama Mystery Thriller,the girl on the train,"Émilie Dequenne Catherine Deneuve Ronit Elkabetz Émilie Dequenne, Catherine Deneuve, Ronit Elkabetz, Matthieu Demy Crime Drama Mystery Thriller"
"John Legend, Wyclef Jean, The Roots, Joss Stone, Blind Boys of Alabama, Mary Mary, Richie Havens, and Anthony Hamilton",John Legend,Wyclef Jean,The Roots,Documentary,soundtrack for a revolution,"John Legend Wyclef Jean The Roots John Legend, Wyclef Jean, The Roots, Joss Stone, Blind Boys of Alabama, Mary Mary, Richie Havens, and Anthony Hamilton Documentary"
Brian Baugh,Brian Baugh (director); Randy Wayne,Deja Kreutzberg,Joshua Weigel,Drama,to save a life,Brian Baugh (director); Randy Wayne Deja Kreutzberg Joshua Weigel Brian Baugh Drama
Martin Campbell,Mel Gibson,Ray Winstone,Danny Huston,Crime Drama Mystery Thriller,edge of darkness,Mel Gibson Ray Winstone Danny Huston Martin Campbell Crime Drama Mystery Thriller
Mark Steven Johnson,Kristen Bell,Josh Duhamel,Will Arnett,Comedy Fantasy Romance,when in rome,Kristen Bell Josh Duhamel Will Arnett Mark Steven Johnson Comedy Fantasy Romance
Stan Foster,Stan Foster (director); LeToya Luckett,Rae'Ven Larrymore Kelly,Kierra Sheard,Drama Family,preacher's kid,Stan Foster (director); LeToya Luckett Rae'Ven Larrymore Kelly Kierra Sheard Stan Foster Drama Family
Benno Fürmann,Benno Fürmann,unknown,unknown,Documentary,north face,Benno Fürmann unknown unknown Benno Fürmann Documentary
Hue Rhodes,Hue Rhodes (director); Steve Buscemi,Sarah Silverman,unknown,Comedy,saint john of las vegas,Hue Rhodes (director); Steve Buscemi Sarah Silverman unknown Hue Rhodes Comedy
Scandar Copti & Yaron Shani,Scandar Copti & Yaron Shani (directors/screenplay),unknown,unknown,Crime Drama,ajami,Scandar Copti & Yaron Shani (directors/screenplay) unknown unknown Scandar Copti & Yaron Shani Crime Drama
